School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,UCLA Community School,"700 South Mariposa Avenue
Los Angeles 90005
(34.05967087700003, -118.29868472399994)",n/a, K-12,978,25.6,55.1%,22.7,697,UCLA's Visual and Performing Arts Education Program,Dance,,,,,Visual Art
Los Angeles Unified,Mayall Street Elementary,"16701 Mayall Street
North Hills 91343
(34.25384757900002, -118.49672931599997)",n/a, K-05,451,21.6,70.7%,18.8,827,Enrichment Works; Skirball Cultural Center,,,,,Theatre,Visual Art
Los Angeles Unified,Ivy Academia,"5461 Winnetka Avenue
Winnetka 91364
(34.16986497700003, -118.57097206999998)",n/a, K-12,1152,22.7,11.5%,19.8,864,Enrichment Works; LA Opera,,,,Music/Opera,Theatre,
Burbank Unified,Theodore Roosevelt Elementary,"850 North Cordova Street
Burbank 91505
(34.16575918900003, -118.34477659299995)",2004, K-05,584,26.5,14.7%,25.4,881,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Towne Avenue Elementary,"18924 Towne Avenue
Carson 90746
(33.856880732000036, -118.26792647799999)",n/a, K-05,354,23.6,82.5%,22.1,849,The Music Center,Dance,,,,,
ABC Unified,Cerritos High,"12500 East 183Rd Street
Cerritos 90703
(33.865766019000034, -118.065914024)",2005, 09-12,2190,30.6,26%,25.5,868,Museum of Latin American Art,,,,,Theatre,Visual Art
South Whittier Elementary,Howard J. McKibben Elementary,"10550 Mills Avenue
Whittier 90604
(33.93784352400007, -118.03870792999999)",2010, K-06,483,32.2,69.8%,31.2,809,The Music Center,Dance,,,,,
Los Angeles Unified,ARTLAB at Sonia Sotomayor Learning Academics,"2050 N. San Fernando Road
Los Angeles 90065
(34.10177168000007, -118.23681459899996)",n/a, 09-11,242,23.1,93.4%,20.2,650,Otis College of Arts and Design,,,Media Arts,,,
William S. Hart Union High,Saugus High,"21900 Centurion Way
Saugus 91350
(34.44304262300005, -118.51791290299997)",n/a, 09-12,2352,30.9,12.4%,26.9,822,"American Museum of Ceramic Art; Santa Clarita Artists' Association, Inc; Santa Clarita Shakespeare Festival",,Literature,,,Theatre,Visual Art
Inglewood Unified,Inglewood High,"231 South Grevillea Avenue
Inglewood 90301
(33.96131193100007, -118.35508017499996)",2006, 09-12,1517,28,69.4%,30.3,597,Broad Stage,,,,,Theatre,
Palos Verdes Peninsula Unified,Mira Catalina Elementary,"30511 Lucania Drive
Rancho Palos Verdes 90275
(33.74080746300007, -118.33404807099998)",2005, 01-05,345,26.5,1.7%,22.3,919,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Liggett Street Elementary,"9373 Moonbeam Avenue
Panorama City 91402
(34.24003287200003, -118.44517392299997)",n/a, K-05,765,23.2,86.8%,21,780,Autry Museum; Enrichment Works,,,,,Theatre,Visual Art
Montebello Unified,Wilcox Elementary,"816 Donna Way
Montebello 90640
(34.02497794400006, -118.12373067599998)",2007, K-05,670,25.8,72.1%,25.8,750,Inland Pacific Ballet,Dance,,,,,
Lynwood Unified,Lugo Elementary,"4345 Pendleton Avenue
Lynwood 90262
(33.93249535800004, -118.18457177799996)",2008, K-06,425,26.5,71.3%,26.6,728,The Music Center,Dance,,,Music/Opera,,
Valle Lindo Elementary,Dean L. Shively,"1431 North Central Avenue
South El Monte 91733
(34.04442384600003, -118.04681926299997)",2010, 04-08,679,29.2,82.3%,29.5,832,Inland Pacific Ballet,Dance,,,,,
Long Beach Unified,Addams Elementary,"5320 Pine Avenue
Long Beach 90805
(33.85283895200007, -118.19171576999997)",n/a, K-05,935,30.2,93.8%,29.2,798,Long Beach Symphony Orchestra,,,,Music/Opera,,
Los Angeles Unified,Quincy Jones Elementary,"900 East 33rd Street
Los Angeles 90011
(34.014596649000055, -118.26074575399997)",n/a, K-05,330,23.6,84.2%,22,730,The Music Center,,,,,,Visual Art
Los Angeles Unified,Carson Street Elementary,"161 East Carson Street
Carson 90745
(33.83170798400005, -118.27582997899998)",n/a, K-05,665,23,69.3%,21.5,849,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Anatola Avenue Elementary,"7364 Anatola Avenue
Van Nuys 91406
(34.20454489700006, -118.51401930499998)",n/a, K-05,448,20.4,85.7%,19.1,792,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Berendo Middle,"1157 South Berendo Street
Los Angeles 90006
(34.04999049000003, -118.29372261099996)",n/a, 06-08,1176,24,94.9%,19.3,749,Skirball Cultural Center; UCLA's Visual and Performing Arts Education Program,Dance,,,,,Visual Art
Los Angeles Unified,Martin Luther King Jr. Elementary ,"3989 South Hobart Boulevard
Los Angeles 90062
(34.01119085600004, -118.30783230099996)",n/a, K-05,543,23.5,89.7%,20.1,752,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Los Angeles Unified,Sally Ride Elementary: A SMArT Academy,"1041 East 46th Street
Los Angeles 90011
(34.00185093600004, -118.25741784999997)",n/a,no data,,,,,,The Music Center,Dance,,,,,
Los Angeles Unified,Mid-City's Prescott School of Enriched Sciences,"3150 West Adams Boulevard
Los Angeles 90018
(34.032614340000066, -118.31851411599996)",n/a, 01-08,286,21.9,93%,17.9,819,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Animo Watts College Preparatory Academy,"12628 Avalon Boulevard
Los Angeles 90061
(33.917950516000076, -118.26521631099996)",n/a, 09-12,550,41,93.6%,24,616,Broad Stage; Watts Village Theater Company,,,,,Theatre,
Lawndale Elementary,Kit Carson Elementary,"3530 West 147th Street
Hawthorne 90250
(33.898247269000024, -118.33364592699996)",2008, K-02,368,23.4,85.3%,23,773,P.S. ARTS,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Kingsley Elementary,"5200 West Virginia Avenue
Los Angeles 90029
(34.09194583800007, -118.30260700299999)",n/a, K-05,554,23.1,91.9%,22.2,798,Autry Museum; LA County Museum of Art; Los Angeles Chamber Orchestra,,,,Music/Opera,,Visual Art
Los Angeles Unified,View Park Continuation,"4701 Rodeo Road
Los Angeles 90016
(34.021522607000065, -118.34733811099994)",n/a, 09-12,64,14,43.8%,21.3,559,Saturday Night Bath Concert Fund,,,,Music/Opera,,
Los Angeles Unified,Early College Academy for Leaders and Scholars (ECALS),"400 West Washington Boulevard
Los Angeles 90015
(34.03315625000005, -118.26961100599999)",n/a, 09-11,238,26.3,81.1%,19.5,675,CalArts Community Arts Partnership (CAP); Museum of Latin American Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,Los Angeles Center for Enriched Studies,"5931 West 18th Street
Los Angeles 90035
(34.043617219000055, -118.37183464299994)",n/a, 06-12,1632,29.5,47.6%,27.2,908,The Music Center,,,,Music/Opera,,
