School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Inglewood Unified,Daniel Freeman Elementary (this school is now closed),,2006, K-06,198,19.7,69.2%,19.8,713,The Music Center,Dance,,,,,
Los Angeles Unified,Woodlake Elementary Community Charter,"23231 Hatteras Street
Woodland Hills 91367
(34.17555809600003, -118.63351899499997)",n/a, K-05,569,22.7,22.3%,21.1,881,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Logan Street Elementary,"1711 West Montana Street
Los Angeles 90026
(34.07850485500006, -118.25785553499998)",n/a, K-07,486,24.5,82.9%,20.3,741,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Playa Vista Elementary,"13150 West Bluff Creek Drive
Playa Vista 90094
(33.96841397800006, -118.425649352)",n/a,no data,,,,,,The Music Center,,,,Music/Opera,,
Pasadena Unified,Willard Elementary,"301 South Madre Street
Pasadena 91107
(34.14160947000005, -118.08157689999996)",2003, K-05,692,27,67.3%,19.8,869,Armory Center for the Arts; Autry Museum; Pasadena Conservatory of Music; Pasadena Museum of California Art; Side Street Projects,,,,Music/Opera,,Visual Art
Los Angeles Unified,Boyle Heights Continuation,"544 South Mathews Street
Los Angeles 90033
(34.037886995000065, -118.21207669499995)",n/a, 09-12,79,21.1,46.8%,26.3,415,artworxLA (formerly The Heart Project),Dance,Literature,,Music/Opera,,Visual Art
Los Angeles Unified,South Gate Senior High,"3351 Firestone Boulevard
South Gate 90280
(33.95460607500007, -118.20980644399998)",n/a, 09-12,3325,32.3,69.9%,27.9,693,Kate Randolph; The Music Center,,,,,Theatre,
Pasadena Unified,Jackson Elementary,"593 West Woodbury Road
Altadena 91001
(34.183190240000044, -118.16289025299994)",2003, K-05,306,25.3,96.7%,21.9,768,Armory Center for the Arts; Pasadena Conservatory of Music; Shumei Arts Council; Side Street Projects; Side Street Projects,,,,Music/Opera,,Visual Art
Los Angeles Unified,Stella Middle Charter Academy,"2636 Mansfield Avenue
Los Angeles 90016
(34.03143875200004, -118.35255005399995)",n/a, 05-08,614,30.8,87%,31,811,The Music Center; Will Geer Theatricum Botanicum,Dance,,,,Theatre,
Los Angeles Unified,Youth Oppportunities Unlimited,"915 West Manchester Avenue
Los Angeles 90044
(33.960068808000074, -118.28967317399997)",n/a, 09-12,325,19.1,46.5%,18.1,501,Saturday Night Bath Concert Fund; Watts Village Theater Company,,Literature,,Music/Opera,Theatre,
Hacienda la Puente Unified,Lassalette,"14333 Lassalette Street
La Puente 91744
(34.044465381000066, -117.97151460899994)",2004, K-08,695,25.6,92.8%,22.3,822,Autry Museum; Inland Pacific Ballet,Dance,,,,,Visual Art
Norwalk-La Mirada Unified,Escalona Elementary,"15135 Escalona Road
La Mirada 90638
(33.893897512000024, -118.01164222099999)",2003, K-05,536,26.8,35.4%,24.7,905,La Mirada Symphony Association,,,,Music/Opera,,
Pasadena Unified,Altadena Elementary,"743 East Calaveras Street
Altadena 91001
(34.18466500100004, -118.13481322999996)",2003, K-05,406,23.8,87.7%,17.7,783,Armory Center for the Arts; Autry Museum; Diavolo Dance Theater; Pasadena Conservatory of Music; Pasadena Museum of California Art; Side Street Projects,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Ellen Ochoa Learning Center,"5027 Live Oak Street
Cudahy 90201
(33.96692867000007, -118.17762160699999)",n/a, K-08,1544,25.4,82.1%,22.1,714,Autry Museum; The Music Center,Dance,,,Music/Opera,,Visual Art
Norwalk-La Mirada Unified,La Pluma Elementary,"14420 La Pluma Drive
La Mirada 90638
(33.90191809100003, -118.00124884499996)",2003, K-05,512,27.4,45.9%,24.4,862,La Mirada Symphony Association,,,,Music/Opera,,
Montebello Unified,Winter Gardens Elementary,"1277 South Clela Avenue
Los Angeles 90022
(34.01519740200007, -118.16226803799998)",2007, K-05,706,18.1,72.2%,19.4,727,24th Street Theatre Company; Autry Museum,,,,,Theatre,Visual Art
Los Angeles Unified,Santee Education Complex,"1921 South Maple Avenue
Los Angeles 90011
(34.02940683400004, -118.26162763999997)",n/a, 09-12,2149,28.9,69.8%,24.3,612,Broad Stage; Geffen Playhouse; LA Opera,,,,Music/Opera,Theatre,
Los Angeles Unified,Avalon Gardens Elementary,"13940 South San Pedro Street
Los Angeles 90061
(33.90519825200005, -118.26964705699999)",n/a, K-06,214,23.9,79%,19.5,800,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Castskill Avenue Elementary,"23536 Catskill Avenue
Carson 90745
(33.81160066600006, -118.27116669399999)",n/a, K-05,644,23.9,74.4%,23,778,Palos Verdes Art Center,,,,,,Visual Art
Newhall,Valencia Valley Elementary,"23601 Carrizo Drive
Valencia 91355
(34.40809773400008, -118.54705482899999)",n/a, K-06,685,25.3,14.2%,23.6,904,Santa Clarita PAC; The Music Center,,,,Music/Opera,Theatre,Visual Art
Lawndale Elementary,William Anderson Elementary,"4130 West 154th Street
Lawndale 90260
(33.89098466300004, -118.34696206199999)",2008, K-05,766,25.5,85.1%,23.2,805,P.S. ARTS,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Wilbur Charter For Enriched Academics,"5213 Crebs Avenue
Tarzana 91356
(34.16526245800003, -118.54416414899998)",n/a, K-05,649,24.9,10.3%,21.6,929,Autry Museum,,,,,,Visual Art
Long Beach Unified,Newcomb Academy,"7020 E. Brittain Street
Long Beach 90808
(33.825355503000026, -118.09747544699997)",n/a, K-08,927,28.9,25.5%,24.6,920,Carpenter Performing Arts Center; International City Theatre,,,,Music/Opera,Theatre,
Saugus Union,Mountainview Elementary,"22201 West Cypress Place
Saugus 91350
(34.447770373000026, -118.51963737199998)",2007, K-06,983,25.1,6.9%,23.7,924,AMAN Dance Educators; Canyon Theatre Guild; Santa Clarita PAC; Santa Clarita Shakespeare Festival,Dance,,,Music/Opera,Theatre,
Redondo Beach Unified,Birney Elementary,"1600 Green Lane
Redondo Beach 90278
(33.86910984300005, -118.37693354599998)",2007, K-05,436,26.8,24.1%,24,927,Kate Randolph; The Music Center,Dance,,,,Theatre,
Los Angeles Unified,Our Community Charter,"10045 Jumilla Avenue
Chatsworth 91311
(34.25255326700005, -118.56342039699996)",n/a, K-07,334,21.8,45.2%,18.6,870,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Park Western Place Elementary,"1214 Park Western Place
San Pedro 90732
(33.753743444000065, -118.30463010999995)",n/a, K-05,700,23.3,54%,23.7,947,Autry Museum; Palos Verdes Art Center; The Music Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Synergy Kinetic Academy,"1420 East Adams Boulevard
Los Angeles 90011
(34.015534959000036, -118.248132581)",n/a, 06-08,475,31.7,88.6%,25,804,LA County Museum of Art,,,,,,Visual Art
Los Angeles Unified,Brainard Elementary,"11407 Brainard Avenue
Lake View Terrace 91342
(34.27743709200007, -118.36352208199997)",n/a, K-05,234,17.7,76.1%,15.6,754,Flights of Fantasy Story Theatre; The Music Center,Dance,,,,Theatre,
Los Angeles County Office of Education,Willows Academy CDS,"4310 Long Beach Boulevard
Long Beach 90807
(33.83670197300006, -118.19013938899997)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,Music/Opera,Theatre,
Los Angeles Unified,Francisco Sepulveda Middle,"15330 Plummer Street
North Hills 91343
(34.24273266900008, -118.465810138)",n/a, 05-08,1640,22.3,88%,18.1,751,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Topeka Charter School For Advanced Studies,"9815 Topeka Drive
Northridge 91324
(34.248890463000066, -118.54574277499995)",n/a, K-05,595,24.8,29.1%,22.9,899,Skirball Cultural Center,,,,,,Visual Art
Azusa Unified,Magnolia Elementary,"945 East Nearfield
Azusa 91702
(34.11669838800003, -117.88867942099995)",n/a, K-05,346,23.1,81.8%,21.4,765,The Music Center,Dance,,,,,
Paramount Unified,Hollydale,"5511 Century Boulevard
South Gate 90280
(33.916684334000024, -118.17328214099996)",2006, K-08,1097,26.7,88.3%,24.9,795,AMAN Dance Educators; Robin Kiss; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Glenfeliz Boulevard Elementary ,"3955 Glenfeliz Boulevard
Los Angeles 90039
(34.12232843700008, -118.26780433599998)",n/a, K-06,432,23.7,76.2%,21.6,834,Independent Shakespeare Co.; Maire Clerkin; Museum of Contemporary Art; Skirball Cultural Center,Dance,,,,Theatre,Visual Art
Downey Unified,Alameda Elementary,"8613 East Alameda Street
Downey 90242
(33.922033397000064, -118.14007941599999)",n/a, K-03,622,21.9,63.8%,19.1,845,Downey Symphonic Society; Enrichment Works,,,,Music/Opera,,
Claremont Unified,Sumner Elementary,"1770 Sumner Avenue
Claremont 91711
(34.11673775500003, -117.74203140199995)",2010, K-06,589,27.1,43%,24.2,859,Inland Pacific Ballet,Dance,,,,,
Lennox,Century Community Charter,"901 South Maple Street
Inglewood 90301
(33.952240119000066, -118.35385213299998)",2009, 06-08,417,,69.3%,,781,Autry Museum; Jagan Ramamoorthy; The Music Center,Dance,Literature,Media Arts,Music/Opera,,Visual Art
Los Angeles Unified,Animo Alain Leroy Locke Charter High,"325 E. 111th Street
Los Angeles 90061
(33.934838359000025, -118.26828944599998)",n/a, 09-12,567,24,89.8%,17.4,,"Street Poets, Inc.",,Literature,,,,
Lennox,Felton Elementary,"10417 Felton Avenue
Lennox 90304
(33.94157880800003, -118.36576113299998)",2009, K-05,582,20.1,86.6%,18.1,829,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Thomas A. Edison Middle,"6500 Hooper Avenue
Los Angeles 90001
(33.98058049000008, -118.25205609999995)",n/a, 07-08,1151,21.8,94.4%,18.4,703,LA County Museum of Art,,,,,,Visual Art
Los Angeles Unified,Toluca Lake Elementary,"4840 Cahuenga Boulevard
North Hollywood 91601
(34.15857000500006, -118.36151595899997)",n/a, K-05,444,23.3,77.3%,21.7,840,Autry Museum; Geffen Playhouse; Skirball Cultural Center; Story Pirates; The Music Center,Dance,Literature,,Music/Opera,Theatre,Visual Art
Glendale Unified,Mark Keppel Elementary,"730 Glenwood Road
Glendale 91202
(34.16567702000003, -118.27218432399997)",2008, K-05,923,25.6,39.3%,22,884,Armory Center for the Arts; Autry Museum; Elisha Wilson-Beach; The Music Center; Kate Randolph,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Julie Korenstein Elementary,"7650 Ben Avenue
North Hollywood 91605
(34.209398048000025, -118.39432446899997)",n/a, K-05,579,24.1,85.8%,20,760,Los Angeles Choreographers & Dancers,Dance,,,,,Visual Art
Bassett Unified,Edgewood Academy,"14135 East Fairgrove Avenue
La Puente 91746
(34.05604342600003, -117.96840234299998)",2007, K-08,680,25.6,74.9%,23.9,829,Beth Sussman; The Music Center,,,,Music/Opera,Theatre,
Burbank Unified,Monterey High (Continuation),"1915 Monterey Avenue
Burbank 91506
(34.18631273200003, -118.33177630999995)",2004, 10-12,171,14.1,44.4%,16.8,552,Shakespeare At Play,,,,Music/Opera,,
Los Angeles Unified,Valley Alternative Magnet,"10445 Balboa Boulevard
Granada Hills 91344
(34.260470895000026, -118.50233286299999)",n/a, K-12,604,26.7,64.2%,26.3,824,Skirball Cultural Center,,,,,,Visual Art
Beverly Hills Unified,Beverly Vista Elementary,"200 South Elm Drive
Beverly Hills 90212
(34.06491409200004, -118.39487452999998)",2004, K-08,713,24.8,5.8%,16.2,920,Dancing Classrooms Los Angeles; Broad Stage; The Music Center; Will Geer Theatricum Botanicum,Dance,,,,Theatre,
Burbank Unified,Ralph Emerson Elementary,"720 East Cypress Avenue
Burbank 91501
(34.190434183000036, -118.30720941599998)",2004, K-05,596,25.9,34.2%,25.9,874,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Sunny Brae Avenue Elementary,"20620 Arminta Street
Winnetka 91306
(34.21354306600006, -118.58198203899997)",n/a, K-05,692,22.3,85.5%,19,806,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Nora Sterry Elementary,"1730 Corinth Avenue
Los Angeles 90025
(34.04405047700004, -118.44773659799995)",n/a, K-05,374,23.1,68.4%,22,801,Autry Museum; Broad Stage; Geffen Playhouse; Skirball Cultural Center; Story Pirates; UCLA's Visual and Performing Arts Education Program,Dance,Literature,Media Arts,,Theatre,Visual Art
Redondo Beach Unified,Alta Vista Elementary,"815 Knob Hill Avenue
Redondo Beach 90277
(33.828307910000035, -118.37893788199995)",2007, K-05,604,24,13.1%,21.6,929,Autry Museum; Beth Sussman; Kelly Graham; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Long Beach Unified,Bryant Elementary,"4101 East Fountain Street
Long Beach 90804
(33.78352782800005, -118.14467370499995)",n/a, K-05,366,28.2,84.7%,26.1,835,Arts Council for Long Beach; Carpenter Performing Arts Center; International City Theatre; Long Beach Symphony Orchestra,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Encino Charter Elementary,"16941 Addison Street
Encino 91316
(34.161728409000034, -118.50166914799996)",n/a, K-05,546,24.7,24.9%,22.8,950,Autry Museum,,,,,,Visual Art
Baldwin Park Unified,Charles Bursch Elementary,"4245 North Merced Avenue
Baldwin Park 91706
(34.08917959400003, -117.97358300199994)",n/a, K-06,619,20.6,84.3%,20,799,Autry Museum,,,,,,Visual Art
Culver City Unified,El Marino Elementary,"11450 Port Road
Culver City 90230
(33.992194823000034, -118.40219387099995)",2003, K-05,763,23.1,15.2%,22.6,942,24th Street Theatre Company; Actors' Gang; Beth Sussman; Skirball Cultural Center; Story Pirates; Symphonic Jazz Orchestra; The Music Center,Dance,Literature,,Music/Opera,Theatre,Visual Art
Sulphur Springs Union,Sulphur Springs Community Elementary,"16628 West Lost Canyon Road
Canyon Country 91387
(34.41975228900003, -118.42652693699995)",2011, K-06,646,24.9,25.2%,24.8,879,Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Canoga Park Senior High,"6850 Topanga Canyon Boulevard
Canoga Park 91303
(34.19555133800003, -118.60589649499997)",n/a, 09-12,1741,28.3,71.1%,22.3,696,Juliana Martinez,,,,,,Visual Art
Los Angeles Unified,Melrose Avenue Elementary,"731 North Detroit Street
Los Angeles 90046
(34.08438034000005, -118.34521232299994)",n/a, K-05,338,21.1,56.8%,17.6,882,Dancing Classrooms Los Angeles; Inner-City Arts; Museum of Contemporary Art; Young Storytellers Foundation,Dance,Literature,Media Arts,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Albion Street Elementary,"322 South Avenue 18
Los Angeles 90031
(34.06906651500003, -118.22079238999999)",n/a, K-06,351,20.6,89.2%,21.3,830,Autry Museum,,,,,,Visual Art
Wiseburn Elementary,Juan De Anza Elementary,"12110 Hindry Avenue
Hawthorne 90250
(33.922831271000064, -118.37218432299994)",2006, K-05,682,26.8,35.5%,23.5,882,P.S. ARTS; Skirball Cultural Center; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Lancaster Elementary,Nancy Cory Elementary,"3540 West Avenue K-4
Lancaster 93536
(34.671151251000026, -118.19325812099999)",2007, K-06,653,26.9,67.5%,25.6,796,Autry Museum,,,,,,Visual Art
Long Beach Unified,Stephens Middle,"1830 West Columbia Street
Long Beach 90810
(33.80909753000003, -118.21690609299998)",n/a, 06-08,899,28.1,92.7%,23.1,753,Long Beach Opera,,,,Music/Opera,,
Burbank Unified,Bret Harte Elementary,"3200 West Jeffries Avenue
Burbank 91505
(34.18101506800008, -118.34598785499998)",2004, K-05,660,30,32%,27.5,870,Shakespeare At Play,,,,,Theatre,
Long Beach Unified,Franklin Classical Middle,"540 Cerritos Avenue
Long Beach 90802
(33.773450129000025, -118.17794341899997)",n/a, 06-08,957,33.6,96.1%,25.2,736,Museum of Latin American Art,,,,,,Visual Art
Los Angeles Unified,Brockton Avenue Elementary,"1309 Armacost Avenue
Los Angeles 90025
(34.044351222000046, -118.46242242999995)",n/a, K-05,253,17.9,72.7%,16.9,795,Broad Stage,,,Media Arts,,,
Los Angeles Unified,Animo Venice Charter High,"820 Broadway Street
Venice 90291
(33.99719228600003, -118.46348928199995)",n/a, 08-12,549,28,85.4%,20.8,785,826LA; Broad Stage,,Literature,,,Theatre,
Garvey Elementary,Bitely (Arlene) Elementary,"7501 East Fern Avenue
Rosemead 91770
(34.05945763700004, -118.10575894399994)",n/a, K-06,583,24.3,76.7%,22.9,824,Museum of Contemporary Art,,,,,,Visual Art
Los Angeles Unified,Topanga Learn-Charter Elementary,"22075 Topanga School Road
Topanga 90290
(34.09178748900007, -118.60375382999996)",n/a, K-06,321,22.9,5.9%,24.7,939,LA Opera,,,,Music/Opera,,
Los Angeles Unified,High Tech LA,"17111 Victory Boulevard
Van Nuys 91406
(34.18665281400007, -118.50683698599994)",n/a, 09-12,366,28.3,48.1%,22.6,853,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Nathaniel Narbonne Senior High,"24300 Western Avenue
Harbor City 90710
(33.80482064000006, -118.30735640899996)",n/a, 09-12,3336,28.7,57.6%,23.7,692,LA Opera,,,,Music/Opera,,
Pomona Unified,Westmont Elementary,"1780 West Ninth Street
Pomona 91766
(34.04953258900008, -117.78143098099997)",2007, K-06,516,25.8,90.7%,22.9,739,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Van Nuys Middle,"5435 Vesper Avenue
Van Nuys 91411
(34.168470410000054, -118.45095261699998)",n/a, 06-08,1342,22.7,73.9%,17.7,751,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Paul Revere Middle,"1450 Allenford Avenue
Los Angeles 90049
(34.054677972000036, -118.494583767)",n/a, 05-08,2103,28,26.2%,25.8,904,"Spirit Series, Inc.",,Literature,,,Theatre,Visual Art
Pomona Unified,Pomona Senior High,"475 Bangor Street
Pomona 91767
(34.08428300000003, -117.74158276699995)",2007, 09-12,1573,28.4,86.9%,19.2,669,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Chester W. Nimitz Middle,"6021 Carmelita Avenue
Huntington Park 90255
(33.98634518400007, -118.19692291899997)",n/a, 06-08,1987,20.8,86.4%,18.3,731,Autry Museum; Skirball Cultural Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Loyola Village Elementary,"8821 Villanova Avenue
Los Angeles 90045
(33.957777985000064, -118.42004726599998)",n/a, K-05,477,22.8,60.6%,23.3,861,Otis College of Arts and Design; Skirball Cultural Center; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Los Feliz Charter School for the Arts,"2709 East Media Center Drive
Los Angeles 90065
(34.109005755000055, -118.24302336299996)",n/a, K-06,515,,28%,,844,Viver Brasil Dance Company,Dance,,,,,
Inglewood Unified,Woodworth (Clyde) Elementary,"3200 West 104th Street
Inglewood 90303
(33.94180519300005, -118.32740611899999)",2006, K-06,602,26.1,61.6%,26.2,733,The Music Center,Dance,,,,,
Hawthorne,Prairie Vista Middle,"13600 South Prairie Avenue
Hawthorne 90250
(33.908520245000034, -118.34383634899996)",2012, 06-08,982,29.6,91%,23.4,775,Inside Out Community Arts; Broad Stage,Dance,,,,Theatre,
Torrance Unified,Meyler Street Elementary,"1123 W. 223rd Street
Torrance 90732
(33.82452820700007, -118.29534450999995)",n/a,no data,,,,,,Autry Museum,,,,,,Visual Art
Los Angeles County Office of Education,"Scott, Joseph Camp","28700 Bouquet Canyon Road
Saugus 91390
(34.45857579400007, -118.48757674199999)",2003, 09-12,38,,81.6%,9.5,,CalArts Community Arts Partnership (CAP); Theatre Of Hearts/Youth First,,,,,,Visual Art
Montebello Unified,Montebello Gardens Elementary,"4700 Pine Street
Pico Rivera 90660
(34.00886670400007, -118.08991622099995)",2007, K-05,359,29.9,74.9%,28.7,890,Inland Pacific Ballet; The Music Center,Dance,,,,,
Whittier City Elementary,Walter F. Dexter Middle,"11532 East Floral Drive
Whittier 90601
(33.99171767000007, -118.05419270799996)",2009, 06-08,1199,30.3,69.1%,24.8,793,LA Opera,,,,Music/Opera,,
Los Angeles Unified,John C. Fremont Senior High,"7676 South San Pedro Street
Los Angeles 90003
(33.96963035600004, -118.26952584499998)",n/a, 09-12,3496,27.5,72.9%,23,582,"Museum of Contemporary Art; Otis College of Arts and Design; Ryman Arts; Street Poets, Inc.",,Literature,,,,Visual Art
Los Angeles Unified,Magnolia Science Academy 4,"11330 West Graham Place, B-9
Los Angeles 90064
(34.03031066800003, -118.43492668099998)",n/a, 06-10,159,20.7,73%,16.2,767,Mari Kono,,,Media Arts,,,Visual Art
Saugus Union,Tesoro del Valle Elementary,"29171 North Bernardo Way
Valencia 91354
(34.468422229000055, -118.55775479899995)",2007, K-06,612,26.5,7.2%,25.5,918,Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Van Gogh Charter School,"17160 Van Gogh Street
Granada Hills 91344
(34.305654169000036, -118.50518936899999)",n/a, K-05,483,24.2,20.9%,23,931,Los Angeles Jewish Symphony ; Skirball Cultural Center,,,,Music/Opera,,Visual Art
Culver City Unified,Culver City High,"4401 Elenda Street
Culver City 90230
(34.007678404000046, -118.40210117299995)",2003, 09-12,2268,28.1,39.4%,26.7,826,Broad Stage; Gay Men's Chorus of Los Angeles; Janne Larsen; Los Angeles Master Chorale; Museum of Contemporary Art; The Music Center; Young Storytellers Foundation,,Literature,Media Arts,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Woodland Hills Charter Academy,"20800 Burbank Boulevard
Woodland Hills 91367
(34.171943388000045, -118.58674902799999)",n/a, 05-08,1311,35,52.8%,28.5,798,Will Geer Theatricum Botanicum,,,,,Theatre,
Santa Monica-Malibu Unified,Santa Monica Alternative (K-8),"2525 Fifth Street
Santa Monica 90405
(34.005213010000034, -118.48132066399995)",2003, K-08,227,25.2,12.3%,26.7,,Broad Stage; Julianna Ostrovsky; Morgan-Wixson Theatre; Pepperdine CFA; Skirball Cultural Center,Dance,,Media Arts,Music/Opera,Theatre,Visual Art
Long Beach Unified,Willard Elementary,"1055 Freeman Avenue
Long Beach 90804
(33.77994061100003, -118.15573499499999)",n/a, K-05,799,30.7,92.2%,25.8,769,Arts Council for Long Beach,,,,,,Visual Art
Long Beach Unified,Lowell Elementary,"5201 East Broadway
Long Beach 90803
(33.76444168800003, -118.13247835599998)",n/a, K-05,744,27.1,12.4%,25.3,932,Autry Museum; International City Theatre; Musical Theatre West,,,,,Theatre,Visual Art
Los Angeles Unified,Central High,"716 East 14th Street
Los Angeles 90021
(34.03189505600005, -118.25394238499996)",n/a, 09-12,557,19.5,30%,20.3,427,"Autry Museum; Street Poets, Inc.",,Literature,,,,Visual Art
Los Angeles Unified,Carthay Center Elementary,"6351 West Olympic Boulevard
Los Angeles 90048
(34.058837709000045, -118.36922702899994)",n/a, K-06,376,25.1,62.8%,19.8,815,Autry Museum; Los Angeles Chamber Orchestra; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Vermont Avenue Elementary,"1435 West 27th Street
Los Angeles 90007
(34.03052845000008, -118.29273971399999)",n/a, K-05,742,19.6,89.4%,18.1,807,24th Street Theatre Company; Skirball Cultural Center,,,,,Theatre,Visual Art
Los Angeles Unified,Castelar Street Elementary,"840 Yale Street
Los Angeles 90012
(34.06460603200003, -118.24006084599995)",n/a, K-05,636,24.5,85.4%,22.7,852,Autry Museum; Education Through Music-Los Angeles; Skirball Cultural Center; The Music Center,Dance,,,Music/Opera,,Visual Art
San Marino Unified,Carver Elementary,"3100 Huntington Drive
San Marino 91108
(34.124487403000046, -118.09944412699997)",2003, K-05,602,26.3,2.5%,23.2,966,The Music Center,Dance,,,,Theatre,
Los Angeles Unified,Nueva Vista Elementary,"4412 Randolph Street
Bell 90201
(33.98144354900006, -118.18763202399998)",n/a, K-06,1105,23,89.4%,22.1,817,Autry Museum; Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Montebello Unified,Montebello Intermediate,"1600 Whittier Boulevard
Montebello 90640
(34.01216816900006, -118.11775363899994)",2007, 06-08,1250,30.6,77%,27.2,715,Autry Museum,,,,,,Visual Art
Glendale Unified,Cerritos Elementary,"120 East Cerritos Avenue
Glendale 91205
(34.125525064000044, -118.25442770499996)",2008, K-06,389,27.8,79.4%,18.5,845,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Elysian Heights Elementary,"1562 Baxter Street
Los Angeles 90026
(34.08907473600004, -118.24937128399995)",n/a, K-06,236,23.6,79.7%,21.5,824,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Castle Heights Elementary,"9755 Cattaraugus Avenue
Los Angeles 90034
(34.037177116000066, -118.39762270999995)",n/a, K-05,574,24.9,29.6%,23,896,Autry Museum; Skirball Cultural Center; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Los Angeles Unified,Santa Monica Boulevard Community Charter,"1022 North Van Ness Avenue
Los Angeles 90038
(34.08954141100003, -118.31570584299999)",n/a, K-06,935,21.2,95.2%,20.6,743,Museum of Latin American Art; Screen Actors Guild Foundation; The Music Center; Young Storytellers Foundation,Dance,Literature,,,Theatre,Visual Art
Los Angeles Unified,Mayberry Street Elementary,"2414 Mayberry Street
Los Angeles 90026
(34.08413490400005, -118.26403176499997)",n/a, K-06,342,22.8,78.1%,20.1,768,"Barnsdall Arts/Friends of the Junior Arts Center; Spirit Series, Inc.",,Literature,,,Theatre,Visual Art
Pasadena Unified,CIS Academy,"2925 East Siera Madre Boulevard
Pasadena 91107
(34.16165242900007, -118.09073587299997)",2003, 06-12,245,20.1,51%,30.6,592,Armory Center for the Arts,,,,,,Visual Art
Long Beach Unified,Hill Classical Middle,"1100 Iroquois Avenue
Long Beach 90815
(33.78083580600003, -118.10614234499997)",n/a, 06-08,997,32,77.3%,24.5,817,Long Beach Opera,,,,Music/Opera,,
Los Angeles Unified,Venice Senior High,"13000 Venice Boulevard
Los Angeles 90066
(33.99907461300006, -118.44252713199995)",n/a, 09-12,2300,29.8,56.1%,23.9,718,826LA; Beyond Baroque literary/Arts Center; Los Angeles Master Chorale; Young Storytellers Foundation,,Literature,Media Arts,Music/Opera,Theatre,
Pomona Unified,Roosevelt Elementary,"701 North Huntington Boulevard
Pomona 91768
(34.064251918000025, -117.76153209899996)",2007, K-05,756,27,95%,22.6,740,Autry Museum; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Canyon Elementary ,"421 Entrada Drive
Santa Monica 90402
(34.03109422000006, -118.51243722199996)",n/a, K-05,408,24,2.5%,25.5,971,"Santa Monica Academy of Music; Spirit Series, Inc.",,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Aspire Titan Academy,"6720 South Alameda Street
Huntington Park 90255
(33.97867054400007, -118.21899775099996)",n/a,no data,,,,,,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Serrania Charter for Enriched Studies,"5014 Serrania Avenue
Woodland Hills 91364
(34.16071094500006, -118.58833571999998)",n/a, K-05,618,24.7,23.1%,22.5,900,Dancing Classrooms Los Angeles; Music Unlocks Success In Children Foundation; Skirball Cultural Center; The Music Center; ,Dance,,Media Arts,,,Visual Art
West Covina Unified,Vine Elementary,"1901 East Vine Avenue
West Covina 91791
(34.05746764600008, -117.90568940499998)",2011, K-05,568,22.6,48.8%,21,890,Autry Museum; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,"4211 Dozier Street
Los Angeles 90063
(34.041521368000076, -118.17459028099995)",n/a, 09-12,496,29.8,86.1%,26.5,594,MaryChristine Pena,,,,,,Visual Art
Los Angeles Unified,Canoga Park Elementary,"7438 Topanga Canyon Boulevard
Canoga Park 91303
(34.20626064500004, -118.60592645499997)",n/a, K-05,865,24,89.9%,21.6,759,Autry Museum,,,,,,Visual Art
