#,Applicant Name,Discipline ,Allocation,Mailing Address,MA Part 2,Mail City,Mail State,Mail Zip,Fiscal Year
689,"Tia Chucha's Centro Cultural, Inc.",Multi-disciplinary,"5,300 ",13197- A Gladstone Avenue,,Sylmar,CA,91342,2012-13
690,"Tia Chucha's Centro Cultural, Inc.",Multi-disciplinary,"3,600 ",13197- A Gladstone Avenue,,Sylmar,CA,91342,2012-13
691,Unusual Suspects Theatre Co.,Theatre,"9,000 ","617 S. Olive Street, # 812",# 812,Los Angeles,CA,90014,2012-13
692,Valley Cultural Center,Music,"5,700 ","21550 Oxnard Street, Suite 470",Suite 470,Woodland Hills,CA,91367,2012-13
693,Velaslavasay Panorama,Multi-disciplinary,"3,000 ",1122 W. 24th Street,,Los Angeles,CA,90007-1724,2012-13
694,Venice Arts In Neighborhoods,Media,"14,500 ",610 California Avenue,,Venice,CA,90291,2012-13
695,"Virginia Avenue Project, The",Theatre,"5,900 ",3000 Olympic Blvd,,Santa Monica,CA,90404,2012-13
696,Viver Brasil Dance Company,Dance,"5,200 ",2141 N. Gower Street,,Los Angeles,CA,90068,2012-13
697,Vox Femina Los Angeles,Music,"2,700 ",3341 Caroline Avenue,,Culver City,CA,90232,2012-13
698,Watts Village Theater Company,Theatre,"7,000 ",PO Box 72715,,Los Angeles,CA,90002,2012-13
699,We Tell Stories Inc,Theatre,"5,300 ",5740 York Boulevard,,Los Angeles,CA,90042,2012-13
700,We Tell Stories Inc,Theatre,"3,900 ",5740 York Boulevard,,Los Angeles,CA,90042,2012-13
701,Will Geer Theatricum Botanicum,Theatre,"3,500 ",P.O. Box 1222,,Topanga,CA,90290,2012-13
702,Wills Players,Theatre,"5,900 ",5504 Tyrone Avenue,,Sherman Oaks,CA,91401,2012-13
703,Women in Film,Media,"8,800 ","6100 Wilshire Boulevard, Suite 710",Suite 710,Los Angeles,CA,90048,2012-13
704,Wordsville Inc,Literature,"5,700 ","1705 N. Commonwealth Avenue, #8",#8,Los Angeles,CA,90027,2012-13
705,"Wulf, The",Multi-disciplinary,"2,300 ","1026 S. Santa Fe Avenue, #203",#203,Los Angeles,CA,90021,2012-13
706,Yiddishkayt Los Angeles,Multi-disciplinary,"6,000 ",3780 Wilshire Boulevard,,Los Angeles,CA,90010,2012-13
707,Young Musicians Foundation,Music,"9,000 ","195 S. Beverly Drive, Suite 414",Suite 414,Beverly Hills,CA,90212,2012-13
708,Young Storytellers Foundation,Theatre,"5,000 ",143 N. Larchmont Boulevard,,Los Angeles,CA,90004,2012-13
709,Zocalo Public Square,Culture/History,"6,100 ",5042 Wilshire Boulevard,,Los Angeles,CA,90036,2012-13
710,24th St Theatre Company,Theatre,"15,000 ",1117 W. 24th Street,,Los Angeles,CA,90007,2013-14
711,24th St Theatre Company,Theatre,"6,650 ",1117 W. 24th Street,,Los Angeles,CA,90007,2013-14
712,826LA,Literature,"11,590 ",1714 W. Sunset Boulevard,,Los Angeles,CA,90026,2013-14
713,A + D Architecture and Design Museum > Los Angeles,Visual/Design,"4,850 ",6032 Wilshire Boulevard,,Los Angeles,CA,90036,2013-14
714,A Window Between Worlds,Visual/Design,"9,310 ",710 4th Avenue,#5,Venice,CA,90291,2013-14
715,Afro-American Chamber Music Society,Music,"2,850 ",3500 W. Manchester Boulevard,Unit 83,Inglewood,CA,90305,2013-14
716,Alliance of Women Filmmakers,Media,"2,850 ",1317 N. San Fernando Blvd,#340,Burbank,CA,91504,2013-14
717,Anani Cultural Healing Arts Center,Multi-disciplinary,"1,900 ",3644 104th Street,,Inglewood,CA,90303,2013-14
718,Angeles Chorale,Music,"5,700 ",21700 Oxnard St,Ste 400,Woodland Hills,CA,91364,2013-14
719,Angels Gate Cultural Center,Visual/Design,"5,510 ",3601 S. Gaffey Street,,San Pedro,CA,90731,2013-14
720,"Antaeus Company, The",Theatre,"3,800 ",5114 Lankershim Boulevard,,North Hollywood,CA,91601,2013-14
721,Armand Hammer Museum of Art and Cultural Center Inc.,Visual/Design,"19,480 ",10899 Wilshire Boulevard,,Los Angeles,CA,90024,2013-14
722,"Arroyo Arts Collective, The",Visual/Design,"4,280 ",P O Box 50835,,Los Angeles,CA,90050,2013-14
723,"Art of Elysium, The",Visual/Design,"17,100 ",3278 Wilshire Boulevard,Penthouse,Los Angeles,CA,90010,2013-14
724,Arts and Services for Disabled Incorporated,Visual/Design,"5,420 ",3626 E. Pacific Coast Highway,,Long Beach,CA,90804,2013-14
725,Arts for LA,Business Management & Arts Advocacy,"9,000 ","1149 S Hill Street, H-100",,Los Angeles,CA,90015,2013-14
726,Association for the Advancement of Filipino American Arts & Culture,Multi-disciplinary,"7,130 ",760 S. Westmoreland Avenue,Suite 266,Los Angeles,CA,90005-1409,2013-14
727,Automata Arts,Multi-disciplinary,"4,750 ",504 Chung King Court,,Los Angeles,CA,90012,2013-14
728,Autry National Center of the American West,Theatre,"15,200 ",4700 Western Heritage Way,,Los Angeles,CA,90027-1462,2013-14
729,"Avenue 50 Studio, Inc.",Visual/Design,"6,500 ",131 N. Avenue 50,,Los Angeles,CA,90042,2013-14
730,Benita Bikes DanceArt Inc.,Dance,"3,330 ",10211 Sunland Boulevard,,Los Angeles,CA,91040,2013-14
731,Bethune Theatredanse,Multi-disciplinary,"6,650 ",3342 Barham Boulevard,,Los Angeles,CA,90068,2013-14
732,Beyond Baroque Foundation,Literature,"5,700 ",681 Venice Boulevard,,Venice,CA,90291,2013-14
733,Body Weather Laboratory,Dance,"5,700 ",636 Millwood Avenue,,Venice,CA,90291,2013-14
734,"California EAR Unit Foundation, The",Music,"4,750 ",29654 Driver Avenue,,Castaic,CA,91384,2013-14
735,California Institute of the Arts,Multi-disciplinary,"6,000 ",24700 McBean Parkway,,Valencia,CA,91355,2013-14
736,California Institute of the Arts,Multi-disciplinary,"9,000 ",24700 McBean Parkway,,Valencia,CA,91355,2013-14
737,California Institute of the Arts,Multi-disciplinary,"45,000 ",24700 McBean Parkway,,Valencia,CA,91355,2013-14
738,"California Lawyers for the Arts, Inc.",Business Management & Arts Advocacy,"6,000 ",1641 18th Street,,Santa Monica,CA,90404,2013-14
739,"Center for Cultural Innovation, The",Business Management & Arts Advocacy,"32,800 ",244 S. San Pedro Street,#401,Los Angeles,CA,90012,2013-14
740,"Center for Cultural Innovation, The",Business Management & Arts Advocacy,"12,000 ",244 S. San Pedro Street,#401,Los Angeles,CA,90012,2013-14
741,Center for the Study of Political Graphics,Visual/Design,"11,210 ",8124 W. 3rd Street,Suite 211,Los Angeles,CA,90048,2013-14
742,Center Theatre Group of Los Angeles,Theatre,"14,250 ",601 W. Temple Street,,Los Angeles,CA,90012,2013-14
743,Circle X Theatre Co,Theatre,"6,650 ",3269 Casitas Ave,,Los Angeles,CA,90039,2013-14
744,Collage Dance Theatre,Dance,"6,650 ",2934 1/2 Beverly Glen Circle,#25,Los Angeles,CA,90077,2013-14
745,Community Partners (fbo Emerging Arts Leaders/Los Angeles,Business Management & Arts Advocacy,"2,807 ",1000 N. Alameda St,Ste 240,Los Angeles,CA,90012,2013-14
746,Community Partners (fbo LA Commons),Multi-disciplinary,"20,000 ",1000 N. Alameda Street,Suite 240,Los Angeles,CA,90012,2013-14
747,Community Partners (fbo LA Commons),Multi-disciplinary,"6,840 ",1000 N. Alameda Street,Suite 240,Los Angeles,CA,90012,2013-14
748,Community Partners (fbo LA Commons),Multi-disciplinary,"4,750 ",1000 N. Alameda Street,Suite 240,Los Angeles,CA,90012,2013-14
749,Community Partners (fbo WriteGirl),Literature,"9,310 ",1000 N. Alamada Street,Suite 240,Los Angeles,CA,90012,2013-14
750,"Company of Angels, Inc.",Theatre,"6,650 ",501 S. Spring Street,,Los Angeles,CA,90013,2013-14
751,Contra-Tiempo,Dance,"7,600 ",3131 Olympic Blvd,,Santa Monica,CA,90404,2013-14
752,Cornerstone Theater Company Inc,Theatre,"17,100 ",708 Traction Avenue,,Los Angeles,CA,90013,2013-14
753,Craft and Folk Art Museum,Traditional/Folk,"8,930 ",5814 Wilshire Blvd.,,Los Angeles,CA,90036,2013-14
