LAPA EDU Application,School,# Students,# Adults,total,C.D.,S.D.,Zip,Concert
,Charles H. Kim,,,179,10,2,,2/6 10am Concert
,Charles White Elementary,131,13,144,1,1,90057,2/6 10am Concert
{857726A7-3A08-E211-B0F4-005056825104},COLUMBUS AVE Elementary,120,4,124,6,3,91405,2/6 10am Concert
{30F605F1-0D14-E211-B0F4-005056825104},Crestview Preparatory School,32,4,36,X,5,91011,2/6 10am Concert
{C91AED05-3408-E211-B0F4-005056825104},Hancock Park Elementary School,150,20,170,4,3,90036,2/6 10am Concert
{4198389F-0214-E211-B0F4-005056825104},McGrath Elementary,108,11,119,Newhall,5,91321,2/6 10am Concert
{E5C51655-2A08-E211-B0F4-005056825104},MONTE VISTA Elementary,117,11,128,1,1,90042,2/6 10am Concert
{AF5D799A-2A08-E211-B0F4-005056825104},MONTE VISTA Elementary,13,1,14,1,1,90042,2/6 10am Concert
,Plasencia Elementary,225,29,254,1,1,90026,2/6 10am Concert
{9EEF7DFE-B30D-E211-B0F4-005056825104},St. Anastasia Catholic School,42,8,50,11,2,90045,2/6 10am Concert
,St. Anastasia Catholic School,28,2,30,,,,2/6 10am Concert
{A443275A-A80D-E211-B0F4-005056825104},St. Columbkille School,30,4,34,9,2,90003,2/6 10am Concert
{B6686FDC-2908-E211-B0F4-005056825104},Toluca Lake Elementary School,60,7,67,4,3,3,2/6 10am Concert
,Vermont Elementary School,220,22,242,8,2,90007,2/6 10am Concert
{207A5827-A60D-E211-B0F4-005056825104},61ST ST Elementary,45,4,44,9,2,90003,2/6 11:15am Concert
{A6790D4F-B10D-E211-B0F4-005056825104},Brentwood Science Magnet,24,3,27,11,3,90049,2/6 11:15am Concert
{B3891F19-3308-E211-B0F4-005056825104},Cheremoya Elementary School,115,16,131,4,3,90028,2/6 11:15am Concert
,Commonwealth Avenue,145,14,159,13,2,90004,2/6 11:15am Concert
,Commonwealth Avenue,146,14,160,13,2,,2/6 11:15am Concert
{F69C8F8A-3608-E211-B0F4-005056825104},FAIRBURN Elementary,,,34,5,3,90024,2/6 11:15am Concert
{FB9C0AA8-3808-E211-B0F4-005056825104},FAIRBURN Elementary,,,32,5,3,90024,2/6 11:15am Concert
{A678781B-0014-E211-B0F4-005056825104},Fishburn Avenue Elementary,60,6,66,MayMaywood,1,90270,2/6 11:15am Concert
{B0F3DF58-AC0D-E211-B0F4-005056825104},HILLCREST CES/MUS MG,50,5,55,10,2,90008,2/6 11:15am Concert
{0EA02CC4-AC0D-E211-B0F4-005056825104},Hobart Elementary,60,6,66,10,2,90006,2/6 11:15am Concert
{78D1596E-A60D-E211-B0F4-005056825104},HOLMES Elementary,50,5,55,9,2,90058,2/6 11:15am Concert
,Kingsley Elementary,81,12,93,13,3,90029,2/6 11:15am Concert
,Miles Elementary School,,,28,X,1,90255,2/6 11:15am Concert
,Moffett Elementary,19,2,21,X,2,90304,2/6 11:15am Concert
,Quincy Jones Elementary,173,20,193,9,2,90011,2/6 11:15am Concert
{D81B35EF-A70D-E211-B0F4-005056825104},Saint John Chrysostom School,74,8,82,9,2,90301,2/6 11:15am Concert
,Santa Teresita,97,16,113,14,1,90033,2/6 11:15am Concert
{7FB13893-3008-E211-B0F4-005056825104},SHIRLEY Elementary,120,16,136,3,3,91335,2/6 11:15am Concert
{E84720A8-B40D-E211-B0F4-005056825104},St. Jerome Catholic School,70,10,80,11,2,90045,2/6 11:15am Concert
{F2AE523C-3B08-E211-B0F4-005056825104},Van Nuys Elementary School,60,4,64,6,3,91401,2/6 11:15am Concert
,Westcreek Academy,262,30,292,X,5,91354,2/6 11:15am Concert
,Westcreek Academy,47,10,57,,,,2/6 11:15am Concert
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
